"ABB","NABB, IN","VORTAC"
"ABI","ABILENE, TX","VORTAC & REGIONAL A/P"
"ABQ","ALBUQUERQUE, NM","VORTAC & INTERNATIONAL A/P"
"ACH","ANTON CHICO, NM","VORTAC"
"ACT","WACO, TX","VORTAC & REGIONAL A/P"
"ADM","ARDMORE, OK","VORTAC & MUNICIPAL A/P"
"ADW","CAMP SPRINGS, MD","ANDREWS AFB & VORTAC"
"AIZ","LAKE OZARK, MO","LEE C FINE A/P  & KAISER NDB"
"ALB","ALBANY, NY","VORTAC & A/P"
"ALN","ALTON, IL","ST. LOUIS REGIONAL A/P"
"ALO","WATERLOO, IA","VORTAC & MUNICIPAL A/P"
"ALS","ALAMOSA, CO","VORTAC & REGIONAL A/P"
"AMA","AMARILLO, TX","INTERNATIONAL AIRPORT"
"ANX","NAPOLEON, MO","VORTAC"
"ANY","ANTHONY, KS","VORTAC & MUNICIPAL A/P"
"ARG","WALNUT RIDGE, AR","VORTAC & REGIONAL A/P"
"ATL","ATLANTA, GA","VORTAC & INTERNATIONAL A/P"
"AUS","AUSTIN, TX","INTL A/P"
"AVK","ALVA, OK","NDB & REGIONAL A/P"
"BAD","BOSSIER CITY, LA","BARKSDALE AFB"
"BAE","MILWAUKEE, WI","BADGER VORTAC"
"BAK","COLUMBUS, IN","COLUMBUS MUNI A/P"
"BAL","BALTIMORE, MD","VORTAC"
"BCE","BRYCE CANYON, UT","VORTAC & A/P"
"BDF","BRADFORD, IL","VORTAC "
"BEC","WICHITA, KS","BEECH A/P"
"BFF","SCOTTSBLUFF, NE","VORTAC & HEILIG FIELD A/P"
"BFI","SEATTLE, WA","BOEING FIELD"
"BGD","BORGER, TX","VORTAC & HUTCHINSON COUNTY A/P"
"BHM","BIRMINGHAM, AL","MUNI A/P"
"BIB","BIBLE GROVE, IL","VORTAC"
"BIE","BEATRICE, NE","VOR & MUNICIPAL A/P"
"BIL","BILLINGS, MT","VORTAC & A/P"
"BKF","AURORA, CO","BUCKLEY AFB & TACAN"
"BLD","BOULDER CITY, NV","VORTAC"
